Zip_Code,Crimes
64127,4886
64117,2058
64112,1569
64138,1890
64113,519
64165,21
64156,366
64139,148
64123,1589
64145,796
64153,1325
64158,504
64137,1641
64055,32
64136,317
64154,1347
64131,3565
64124,2882
64105,1697
64102,196
64114,2978
64111,6079
64161,584
64101,183
64110,2841
64126,1340
64128,3662
64106,3789
64155,1306
64151,1464
64068,75
64152,468
6411,24
64129,2398
64118,2037
64134,3316
64133,4277
64116,1410
64130,5731
64109,2647
64157,827
64132,4082
64125,703
64108,3887
64146,130
64120,1247
64147,330
64030,28
64119,1488
